Aether,Duranium,Kyber,Ruinite,Silverstone
-0.703479185,-1.710511912,1.377983244,-1.468008365,0.064462548
-0.031975864,0.594995334,0.137842669,0.368252507,-0.135989152
0.402005841,1.466479217,-0.255562555,1.362958832,0.457888112
-0.279689283,0.826214658,0.918213786,1.368583233,0.784138438
0.808096623,0.296505781,0.309788773,0.877477977,1.39315732
1.048240639,0.891552167,1.536263572,1.002488764,-0.256481977
-0.281585391,0.117511355,-0.147843999,-0.225622043,-1.700137302
0.207329937,-0.130320759,1.652234322,-0.500659932,0.084380348
1.936640995,1.020612561,0.294011405,1.26574605,0.586058058
0.772592564,0.344707304,-0.594726282,0.09019536,-1.209358349
-0.315651344,-0.127946453,-0.963420928,-0.514436046,0.261800221
-1.493107357,-0.863284864,-1.407621272,-0.708128231,0.911964908
-0.01356864,-0.711118341,1.49910047,-0.671796868,0.588644666
0.631007903,-0.626815366,2.963153191,-0.425616205,0.139333716
0.506142886,0.689600049,0.435720051,0.997728361,1.236062906
1.566660685,0.463473453,0.988253726,0.233440655,0.323204348
-0.663281901,-0.154379066,-0.793354242,-0.268042143,2.298133364
0.425279424,1.587135806,0.878412142,1.939754905,0.498175986
0.923359494,-0.067397531,0.384771598,0.190245423,1.349315631
0.147801852,-0.736688728,-1.612036625,-0.57731156,0.692016785
1.62710126,-0.837596884,1.26705738,-0.96489045,0.776668249
-0.969867109,-0.509543411,1.762458387,-0.81892425,0.546074357
-0.393337245,-0.668780128,-1.650944608,-0.667766418,-0.49420732
-1.113643312,-0.311670942,1.143949867,-0.223339546,1.631659089
0.347217729,-0.339928457,1.068046844,-0.024565742,-0.426986733
-0.608125739,-1.415088554,-0.362180465,-1.258547166,-0.68804304
0.03194257,0.227344914,0.009399017,-0.235213596,-0.311843391
-0.018777563,0.305404821,-2.33093891,0.03927755,-0.907355174
-0.158889461,-2.421483707,0.230164619,-2.200265898,-1.87553041
1.234596435,2.797126605,-1.137342233,2.640369712,0.835895332
-0.443892881,-0.259306218,0.826311239,-0.308866326,2.425157624
1.743253623,-1.760547866,0.135134376,-1.300591466,-0.647266946
1.444552247,-0.739668205,0.645766029,-0.314242521,-0.206337099
0.647761888,0.210089606,-0.34406655,0.824628013,0.049836938
0.615133197,-0.704589141,-1.668434856,-0.453804714,-1.353222337
1.070292499,-0.132630453,-0.087768215,-0.301322882,2.138944107
0.635461385,-0.033216205,0.006868449,0.794283364,0.8757779
-1.489323096,-0.856311979,-0.315648786,-0.267228561,-1.147840984
-1.243512413,-0.316206847,-0.268564582,0.564803893,1.69271087
0.098529705,-1.01215188,-0.066888415,-1.258059173,-0.294830508
1.02645465,0.564910532,-0.29335191,0.425581704,0.036515704
-0.795382446,0.04807503,0.448542572,0.138362365,-0.048676617
0.411428526,-1.365588406,0.293938541,-1.087631123,-0.102608703
-0.12361852,0.370701327,0.663032313,0.933794984,1.512247475
-0.540384797,-1.267725944,-0.051963184,-0.718222803,-1.419114503
1.546843485,-0.346371377,0.754224227,0.129897235,-2.193914975
-2.310169056,-1.297705045,-0.775263552,-1.869835666,0.419422162
1.072678525,-0.792915927,-0.790913672,-0.847549728,0.914383408
-1.008813661,3.208253622,-1.41623473,3.175060995,-0.36215374
0.958429405,0.959937068,-0.325183741,0.396640141,0.013242836
-0.89019509,0.181090982,0.014418064,0.060052765,-1.658346773
0.541178237,-0.052435585,1.474014931,-0.640516236,-0.924652276
-2.328452456,-0.217827968,0.915655257,-0.154980853,0.322752783
