Radianite,Horonium,Administratium,Versamina,Afraidium
-1.672972945,-1.941577412,2.537837132,-0.155485638,-0.914660469
0.053024466,-0.140666592,1.55550312,1.086555303,-0.380492678
0.700198556,0.665956521,0.54116407,-1.77859171,-2.002733936
0.366342307,0.412238282,0.946271391,-0.658775042,-0.511307994
-0.234606063,-0.971018586,0.913014777,0.100518546,-0.645779315
-0.128941509,-0.167562585,0.348741309,0.085917888,-1.377694025
1.448786463,0.995423274,-0.003785582,0.63584069,-0.550209522
0.581636092,1.101263572,-2.568302388,-0.246201079,0.647687629
-1.374349965,-1.052650752,0.088718523,-0.310676016,-0.817973112
-0.097497987,-0.202570285,-0.152305177,-1.159308116,1.23080727
0.568612699,0.478379957,0.549231418,0.466533947,-1.131980093
-1.39074186,-1.346344768,-0.660238953,1.096110968,-1.140935636
0.327347577,0.078726424,-0.997449272,0.01506282,0.27978354
0.737974134,0.670514667,-0.77401289,0.238145719,-0.321919592
1.13591625,1.275676281,-0.459105024,-0.277638237,-0.028167839
-1.17425026,-1.60669813,2.096868204,-0.922745973,-1.263781261
0.051969103,-0.300531873,0.722318013,0.686940461,0.810374972
-0.58821993,-0.337903666,0.48103964,-0.892560826,1.905088354
-0.42174769,-0.715167796,-0.529433259,0.009333914,-1.271324486
0.320387288,0.497641267,-2.235129996,-1.028781154,-0.001043057
-1.223261014,-1.097768891,0.159810816,0.817606881,-0.354792279
0.524995749,1.076735421,-1.32558126,0.889476562,0.507574557
2.421141844,1.855637408,-1.602473808,0.638539555,1.35458817
-2.435452166,-2.338998946,0.251870821,0.152919943,0.519098092
1.028701576,1.280629445,0.25403361,-0.284971586,-0.915621547
1.366000873,0.748744671,-0.520108383,-2.396987106,-0.865898591
-1.205522215,-1.385374218,-0.717829044,-1.455686291,0.522119781
0.368773755,0.561282629,0.164145186,0.929139945,0.677368975
1.03915152,0.749088758,-0.616709999,-0.156312429,0.049944584
-0.339385848,-0.297195316,1.029829637,-1.023926242,1.160317982
0.336190649,0.148831946,0.826233377,0.123749437,-0.872946609
-1.445478484,-1.210631768,0.949445158,-1.469720869,-0.751604912
-0.099472813,0.341320828,0.89306554,0.791916267,0.935777636
0.282744862,0.329280107,1.056849639,1.105626583,0.670430478
-0.174929946,-0.531227768,1.278565224,0.742258669,0.240034481
0.540136225,0.442071532,-1.017792818,2.99561679,-1.386518774
0.814879253,0.578792019,1.910405214,0.516755447,0.090519706
-1.117661944,-0.972796109,3.013305211,-0.210861895,-0.044622943
-2.121974774,-2.038438173,0.224263736,-0.760651517,0.707840168
-0.622244008,-0.244463227,0.62805982,-0.320543633,-1.188951846
-1.190064484,-1.430781226,-0.272666487,0.319494438,-0.693070401
-0.14958075,-0.102056174,1.386910856,-0.847318254,1.077498927
-1.385827146,-1.377771853,1.105877202,-1.027673406,0.255784976
