Silverstone,Ceratanium,Taydenite,Divinium (E115),Dark Metal
-0.175073567,-0.506433577,-1.485923708,-0.417391507,-0.146255658
-2.47845358,0.086894817,-0.751150028,-2.25138256,-0.316820534
0.050891927,-2.79379375,0.174715526,0.563520807,-1.282293167
0.786110123,-0.959643045,2.155986774,0.680776323,0.453413167
-0.032094445,0.012535576,-0.195219346,-0.021652164,-1.060949139
0.468241173,0.11592873,1.443993178,0.151385712,1.361052051
-0.0392978,0.391196189,0.919375298,-0.071667548,-0.303124558
1.394635548,1.887316324,-1.170185073,1.700001688,-0.222938977
0.398051201,-0.88403355,0.218097023,0.491270729,1.147421772
1.065031213,-1.138586704,-0.082522543,1.346223144,1.311095274
0.383066361,-0.108541972,0.168464623,0.502861685,0.834752882
-1.341771149,-0.006456685,-0.773012124,-1.417777015,-0.329659248
-0.268000269,-2.256680402,-0.540719498,-0.896401516,-0.327101845
0.810024974,0.816266239,1.139559238,0.510564417,0.437113296
0.54430452,0.259741629,1.603747356,0.75545159,0.842774103
-0.245511688,1.000856878,0.698604215,-0.449750978,-0.209951724
3.498706058,0.62197562,1.253544204,3.077244942,0.978790643
-0.757755536,-0.54208183,0.246959746,0.041383534,0.214315296
-0.765660285,-0.177259636,-0.268480047,-0.694249145,-0.099043343
-2.121007183,0.489941703,1.600947893,-1.822660412,0.045998486
2.178579658,0.71337445,0.66424879,2.276008198,0.336238741
0.485053352,-0.184192157,0.126980433,0.672783945,0.231993271
-0.121872838,-0.292910702,-0.482849775,-0.176388148,1.342775316
-0.168792934,-0.340681438,1.683095418,0.475172354,0.366249163
0.935269042,-1.745720618,-0.869906634,1.607537779,-1.04006318
-0.658766274,0.430146288,-0.403158148,-0.457668658,-0.391079195
-1.364887797,-0.802861852,0.560804183,-1.151187851,1.27076948
-0.384730569,-0.451944915,1.485706921,-0.141981116,1.58201237
0.705966084,-0.10979158,0.963340627,0.373315593,1.07136
0.062698886,0.471225388,0.24013968,0.056634118,0.639296024
-0.435262333,1.21940243,0.022353555,-0.972224617,-0.66880036
-1.241053434,-0.718003191,0.524930233,-0.671002943,0.163686542
0.811433533,0.002606027,0.686251432,0.530365647,0.108906307
0.362069902,0.422881619,0.743771467,0.698308056,-0.609606708
1.205714623,1.289531722,0.531077098,1.543976279,0.710035037
-0.626032598,-0.991066134,-0.143277104,-0.644038959,-1.733464092
-0.667228893,0.572689855,-0.380164037,-0.697186228,-0.035791077
-0.589945,0.976653351,-0.796990519,-0.80704806,-0.438708747
0.519718788,0.38005964,1.048711488,0.828342807,-0.632687534
1.404747402,-2.195057542,0.823565488,1.379862578,-0.59977813
-0.634243508,-0.250773518,-1.160501139,-0.969474917,-0.225816533
1.853387543,-0.449950324,1.495951783,2.091889469,-0.177189586
1.456402484,0.647933806,-1.335274987,0.899380264,1.310051423
-0.043926511,-0.222704204,1.776186531,0.596022908,1.673118885
-2.375499831,0.391579805,-0.851183175,-2.344626311,0.573017174
-1.527505812,0.552717027,0.540119569,-1.88633781,0.130712908
-0.570703033,1.453562293,0.875128183,-0.71193037,-0.042293197
-2.671048118,-1.232347419,-2.202892336,-2.782820333,0.189867251
-0.954376519,-1.12892906,-0.526241001,-0.539655459,-0.143362952
-0.523691187,0.023311947,-0.71167872,-0.731634884,-0.41949944
0.29807924,-3.749124539,-0.758192141,0.406288475,-1.152305632
-1.325328783,-1.628360254,0.143908289,-1.020190861,-0.30550102
-1.14750361,0.82003496,-0.789671922,-1.151288846,-1.092887661
-0.142277677,1.107566689,0.491355056,-0.369235063,-0.183571552
0.909373087,-0.701512188,-0.194517047,1.065189552,-0.458283432
-1.108457915,0.634227222,-0.521882458,-0.520634263,-0.405505329
0.843939387,0.275819298,-0.719635331,1.19355632,1.498244641
-0.607537092,-1.257371707,0.768717418,-0.094460624,-2.168801159
-1.503824544,0.80648151,1.25165404,-1.583610657,0.488199044
-0.833255202,0.240056073,-0.434339266,-1.247372095,-0.587463166
0.670475842,-1.163650101,0.415076931,0.404165758,-0.288676658
1.115025836,-1.542265991,-1.068125008,1.554203561,-0.032719874
0.775405371,-0.990568673,1.848002129,0.834839272,-0.253649633
-0.010245687,-1.122996486,1.867775966,-0.843113719,-0.110867491
