Thiotimoline,Ice-nine,Supermanium,Celestial Bronze,The Core
0.209586007,-1.992445313,-2.147363475,-1.206139639,-1.658801867
-0.036495765,1.299958549,0.696400169,0.822481491,1.006496198
-0.576297932,-1.159744739,0.39661654,0.25379852,0.660102196
-0.709890464,1.869660401,0.97885001,0.401887096,0.602332534
0.493299797,-1.281370589,-0.105015469,-0.092619274,-0.294006759
0.493023096,0.345408071,-1.433001798,-1.708938006,-1.384070599
-0.033878191,-0.654351018,0.957009567,1.272913601,0.861718086
0.231208595,-0.656481132,0.02632964,-0.502950021,-0.047688078
1.47782805,-1.193893489,0.231957682,-0.100346303,0.29601008
-1.660721422,-0.315379337,-0.31628186,-0.223860499,-0.214908561
-0.551929984,-1.712464761,0.280871532,0.943145784,0.632949959
-1.249609843,0.935198509,0.829207345,0.101652223,0.223671124
-0.334188946,0.386281568,-1.600713594,-2.013602535,-1.776553962
0.35240367,-1.409954642,-0.936399767,-0.76495418,-1.003053444
0.662207951,-0.338348443,1.187059349,1.306689723,1.328557291
-0.797815897,-0.042901856,-0.109263827,0.426675638,0.211441517
-0.736044293,-1.783877518,0.037574659,-0.137603451,0.221238124
-0.776145923,1.533254649,-0.855689673,-0.756136968,-0.564157049
-2.156746623,1.828210693,-0.650645704,-0.612752359,-0.931987409
-0.174511822,0.471220935,0.160514497,0.13999222,0.018425757
0.64849656,0.462402511,-0.334578501,-0.775504928,-0.606691774
1.031622567,-0.862829912,0.334964303,0.853763915,0.393161284
-0.613234308,0.146677827,-0.199596379,-0.339520332,-0.48598687
-1.319028647,-0.364061476,1.278505888,0.730890371,0.72934632
-0.917131545,-2.338794798,-0.084602164,0.199299868,-0.018795751
0.779259522,0.458927584,-0.763447527,-0.980644577,-0.597060419
1.203414234,-0.692571724,0.876789107,0.803078454,0.643764426
-0.063932452,1.681789315,-1.782120983,-1.231647207,-1.248622028
0.494033115,0.007473134,-0.815458033,-0.32464808,-0.935459441
0.761565288,0.819411225,-0.672779006,-0.334568712,-0.62047596
-1.381451022,-0.745297673,0.586487564,0.383068595,0.847954855
1.509780759,-1.111338676,0.661359797,0.854652201,0.64541153
-0.359923584,0.910397225,0.243907212,0.869432273,0.792177529
0.222613239,0.970630674,0.235793972,0.569318962,0.79405063
-0.753928779,-0.016202964,-1.924809455,-2.264914735,-2.671486832
1.112328268,-1.668416396,0.516389582,0.297854333,0.260462134
0.281181161,-1.739281431,-0.077227593,0.18153745,-0.1444435
0.285601019,-1.151569116,0.818836413,0.76689567,1.016900552
0.726139114,-1.759400735,1.303815552,1.227969942,1.536159729
-0.176377543,-0.005570138,1.706809142,1.824565348,1.736335958
0.681416603,-0.58308666,0.756257393,0.853504158,0.601681578
-0.101905255,-1.443883742,-1.10584401,-0.770486674,-1.120463408
-0.655583647,1.522386709,-0.629356207,-0.773136153,-0.504200928
1.655859337,-0.091000101,0.881035417,0.767992835,1.039897032
0.259409722,-0.054758988,0.132447294,0.041738124,0.281890018
-0.384031968,1.379417524,-0.112274983,0.11170805,-0.162109592
0.372750887,-0.28178378,-0.791909065,-0.441241751,-0.759916811
0.169687716,1.382100029,-1.288044425,-0.646378811,-0.404868839
0.018315094,0.680874353,0.983717896,0.569607705,0.790628856
-1.336944241,0.653382669,0.717871461,0.542913083,0.724130132
0.887522077,-0.453343176,-0.962039475,-0.783933377,-0.45175512
1.469347231,-1.648401754,-0.578138112,-0.717860826,-0.934168901
3.581380907,1.279774368,-0.229844327,-0.290442455,0.141349461
0.451223764,1.327810711,1.325152068,1.237499177,1.352951851
-0.531078728,-0.078412293,0.793528025,1.283105777,0.82271444
1.173773472,1.313926471,1.218522509,1.103680865,1.10043553
-0.197311848,1.720863346,0.342611069,0.086078934,0.259078851
-0.086828009,0.266089154,-0.630464229,-0.585744847,-0.723577563
0.123505152,0.087570424,0.54897313,0.524952897,0.639960804
0.692597247,-3.691490341,0.889205629,1.423018405,1.291853155
-0.45552071,-0.190525213,-1.402338722,-1.332393112,-1.56191336
-1.253381444,-0.305246794,0.149779948,0.287402779,0.477505626
-0.083580435,-0.750758089,0.474832685,0.425124578,0.478880884
-1.081701484,0.887791121,-0.449355589,-0.076153635,0.195025401
-0.034302306,-1.312650421,1.056514708,0.76365334,1.137253312
-2.409345369,-1.316247999,-0.706474079,-0.782569988,-0.635521645
-0.063137489,2.961223225,-0.480310011,0.629731863,0.010978063
0.732382978,0.594512843,2.055031461,2.027423793,1.903331936
1.84398339,-0.983653676,-0.101493319,0.372465286,0.048914212
1.678298388,1.325972586,-0.349741749,-0.598296555,-0.647429034
1.086563501,-0.660223088,0.93080236,0.841621448,1.215124115
-0.31469068,-1.017493443,0.390001586,0.68153798,0.539059078
-0.420150245,-1.127554722,-1.429883926,-0.867216454,-1.117834299
2.761183613,-2.604908109,0.029799246,-0.488153319,-0.38531456
-0.413069644,0.344649166,-0.510932191,-0.206847343,-0.623998477
1.882042753,0.084117109,-0.70480188,-0.618019326,-1.007548464
1.403127483,0.475494263,0.76947682,0.839651879,0.4448037
-1.882415989,0.06578036,0.84616229,0.2485449,0.88581655
-0.540820489,0.185515607,-2.196552897,-1.900464895,-2.670671868
0.358719868,1.156775136,0.808120447,1.341240041,0.652497655
1.016333066,-0.361604382,0.108059242,0.03584758,-0.048105451
0.34310694,-1.127440778,2.785474972,1.900909312,2.29703575
-1.002697528,0.115815833,1.421090231,1.171018075,1.631281485
0.176445661,-0.152023994,0.968950431,-0.362490204,0.429946409
0.170019329,-0.04547395,0.212805102,0.605633561,0.32939491
1.552576412,-0.441392006,-0.036309163,-0.067473894,-0.230397916
1.064397026,1.171163269,-0.850261289,-0.948231796,-0.617003171
0.386739794,-0.346478746,-1.073193048,-1.472944321,-1.206385213
-0.345993334,-0.355655194,-0.110462814,-0.704335952,-0.766674411
0.763706656,0.312493774,-2.040761744,-1.340566302,-1.353020624
-0.509115728,-1.01506822,0.075959718,-0.034995775,-0.160233624
-0.022392679,1.384261679,-1.184538647,-1.453861271,-1.271399892
1.438253844,1.036241093,1.6385631,1.14880205,1.407564383
-1.825763148,0.25876346,-1.990111496,-1.241754692,-1.23312609
0.755561163,1.986872285,0.645076231,0.351340216,0.622191861
2.21133022,0.136996618,-0.302524245,0.363658248,-0.120845248
0.365582601,0.077828895,-0.249194006,-0.460833259,-0.64069886
-0.407421003,0.846870037,0.405925846,0.04866059,0.269728725
-0.197549382,0.300991465,-0.822085421,-1.048975972,-1.273707914
0.648056469,0.682508381,0.120804113,-0.519592869,-0.402392896
